('01:20:13', 0.0, 8.48, snetio(bytes_sent=10277785772, bytes_recv=2434284975, packets_sent=17047732, packets_recv=18940060, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020244, read_bytes=1066131968, write_bytes=21117489664, read_time=76752, write_time=3754368, read_merged_count=0, write_merged_count=1051360, busy_time=422060))
('01:20:16', 100.0, 8.48, snetio(bytes_sent=10277786628, bytes_recv=2434285325, packets_sent=17047736, packets_recv=18940066, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020246, read_bytes=1066131968, write_bytes=21117506048, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051362, busy_time=422060))
('01:20:19', 100.0, 8.48, snetio(bytes_sent=10277787430, bytes_recv=2434286021, packets_sent=17047739, packets_recv=18940077, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020246, read_bytes=1066131968, write_bytes=21117506048, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051362, busy_time=422060))
('01:20:22', 0.0, 8.48, snetio(bytes_sent=10277788178, bytes_recv=2434287077, packets_sent=17047741, packets_recv=18940090, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020248, read_bytes=1066131968, write_bytes=21117518336, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051363, busy_time=422060))
('01:20:25', 100.0, 8.48, snetio(bytes_sent=10277789082, bytes_recv=2434287699, packets_sent=17047745, packets_recv=18940098, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020248, read_bytes=1066131968, write_bytes=21117518336, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051363, busy_time=422060))
('01:20:28', 100.0, 8.48, snetio(bytes_sent=10277789830, bytes_recv=2434288233, packets_sent=17047747, packets_recv=18940107, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020250, read_bytes=1066131968, write_bytes=21117530624, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051364, busy_time=422060))
('01:20:31', 100.0, 8.48, snetio(bytes_sent=10277790646, bytes_recv=2434288781, packets_sent=17047750, packets_recv=18940116, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020250, read_bytes=1066131968, write_bytes=21117530624, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051364, busy_time=422060))
('01:20:35', 0.0, 8.48, snetio(bytes_sent=10277790818, bytes_recv=2434289483, packets_sent=17047752, packets_recv=18940127, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020252, read_bytes=1066131968, write_bytes=21117542912, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051365, busy_time=422060))
('01:20:38', 100.0, 8.48, snetio(bytes_sent=10277791566, bytes_recv=2434289837, packets_sent=17047754, packets_recv=18940133, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020252, read_bytes=1066131968, write_bytes=21117542912, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051365, busy_time=422060))
('01:20:41', 0.0, 8.48, snetio(bytes_sent=10277792368, bytes_recv=2434290173, packets_sent=17047757, packets_recv=18940138, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020254, read_bytes=1066131968, write_bytes=21117555200, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051366, busy_time=422060))
('01:20:44', 100.0, 8.48, snetio(bytes_sent=10277793116, bytes_recv=2434290827, packets_sent=17047759, packets_recv=18940149, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020258, read_bytes=1066131968, write_bytes=21117579776, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051367, busy_time=422060))
('01:20:47', 0.0, 8.48, snetio(bytes_sent=10277793918, bytes_recv=2434291239, packets_sent=17047762, packets_recv=18940156, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058229248, free=27960631296, percent=9.9), sdiskio(read_count=69333, write_count=1020260, read_bytes=1066131968, write_bytes=21117604352, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051371, busy_time=422060))
('01:20:50', 100.0, 8.48, snetio(bytes_sent=10277794666, bytes_recv=2434291809, packets_sent=17047764, packets_recv=18940164, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058233344, free=27960627200, percent=9.9), sdiskio(read_count=69333, write_count=1020260, read_bytes=1066131968, write_bytes=21117604352, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051371, busy_time=422060))
('01:20:53', 0.0, 8.48, snetio(bytes_sent=10277795522, bytes_recv=2434292355, packets_sent=17047768, packets_recv=18940172, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058233344, free=27960627200, percent=9.9), sdiskio(read_count=69333, write_count=1020262, read_bytes=1066131968, write_bytes=21117616640, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051372, busy_time=422060))
('01:20:56', 100.0, 8.48, snetio(bytes_sent=10277796900, bytes_recv=2434292953, packets_sent=17047771, packets_recv=18940179, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058233344, free=27960627200, percent=9.9), sdiskio(read_count=69333, write_count=1020262, read_bytes=1066131968, write_bytes=21117616640, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051372, busy_time=422060))
('01:20:59', 100.0, 8.48, snetio(bytes_sent=10277797648, bytes_recv=2434294505, packets_sent=17047773, packets_recv=18940190, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058233344, free=27960627200, percent=9.9), sdiskio(read_count=69333, write_count=1020264, read_bytes=1066131968, write_bytes=21117628928, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051373, busy_time=422060))
('01:21:02', 100.0, 8.48, snetio(bytes_sent=10277797888, bytes_recv=2434296109, packets_sent=17047776, packets_recv=18940204, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058233344, free=27960627200, percent=9.9), sdiskio(read_count=69333, write_count=1020264, read_bytes=1066131968, write_bytes=21117628928, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051373, busy_time=422060))
('01:21:05', 100.0, 8.48, snetio(bytes_sent=10277799266, bytes_recv=2434297417, packets_sent=17047779, packets_recv=18940214, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058233344, free=27960627200, percent=9.9), sdiskio(read_count=69333, write_count=1020266, read_bytes=1066131968, write_bytes=21117641216, read_time=76752, write_time=3754376, read_merged_count=0, write_merged_count=1051374, busy_time=422060))
('01:21:08', 100.0, 9.58, snetio(bytes_sent=10277822133, bytes_recv=2434303665, packets_sent=17047865, packets_recv=18940264, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058233344, free=27960627200, percent=9.9), sdiskio(read_count=69333, write_count=1020269, read_bytes=1066131968, write_bytes=21117731328, read_time=76752, write_time=3754380, read_merged_count=0, write_merged_count=1051393, busy_time=422060))
('01:21:11', 100.0, 9.83, snetio(bytes_sent=10278296427, bytes_recv=2434344880, packets_sent=17049855, packets_recv=18940725, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058237440, free=27960623104, percent=9.9), sdiskio(read_count=69333, write_count=1020332, read_bytes=1066131968, write_bytes=21119001088, read_time=76752, write_time=3754460, read_merged_count=0, write_merged_count=1051640, busy_time=422060))
('01:21:14', 100.0, 10.14, snetio(bytes_sent=10279012591, bytes_recv=2434407091, packets_sent=17052330, packets_recv=18941399, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058241536, free=27960619008, percent=9.9), sdiskio(read_count=69333, write_count=1020420, read_bytes=1066131968, write_bytes=21120782848, read_time=76752, write_time=3754572, read_merged_count=0, write_merged_count=1051984, busy_time=422060))
('01:21:17', 100.0, 10.19, snetio(bytes_sent=10279245711, bytes_recv=2434427389, packets_sent=17053164, packets_recv=18941611, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058257920, free=27960602624, percent=9.9), sdiskio(read_count=69333, write_count=1020468, read_bytes=1066131968, write_bytes=21121507840, read_time=76752, write_time=3754704, read_merged_count=0, write_merged_count=1052113, busy_time=422072))
('01:21:20', 100.0, 10.89, snetio(bytes_sent=10280061271, bytes_recv=2434505964, packets_sent=17056839, packets_recv=18942566, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058257920, free=27960602624, percent=9.9), sdiskio(read_count=69333, write_count=1020546, read_bytes=1066131968, write_bytes=21123113472, read_time=76752, write_time=3754804, read_merged_count=0, write_merged_count=1052427, busy_time=422072))
('01:21:23', 100.0, 11.29, snetio(bytes_sent=10280989096, bytes_recv=2434591078, packets_sent=17061035, packets_recv=18943526, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058274304, free=27960586240, percent=9.9), sdiskio(read_count=69333, write_count=1020666, read_bytes=1066131968, write_bytes=21125521920, read_time=76752, write_time=3754936, read_merged_count=0, write_merged_count=1052895, busy_time=422072))
('01:21:26', 100.0, 11.24, snetio(bytes_sent=10281812309, bytes_recv=2434663945, packets_sent=17064881, packets_recv=18944392, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058278400, free=27960582144, percent=9.9), sdiskio(read_count=69333, write_count=1020753, read_bytes=1066131968, write_bytes=21127299584, read_time=76752, write_time=3755056, read_merged_count=0, write_merged_count=1053242, busy_time=422072))
('01:21:29', 100.0, 11.44, snetio(bytes_sent=10282630495, bytes_recv=2434739667, packets_sent=17068399, packets_recv=18945267, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058286592, free=27960573952, percent=9.9), sdiskio(read_count=69333, write_count=1020850, read_bytes=1066131968, write_bytes=21129249280, read_time=76752, write_time=3755252, read_merged_count=0, write_merged_count=1053621, busy_time=422076))
('01:21:32', 100.0, 11.74, snetio(bytes_sent=10283461555, bytes_recv=2434816004, packets_sent=17072186, packets_recv=18946153, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058294784, free=27960565760, percent=9.9), sdiskio(read_count=69333, write_count=1020946, read_bytes=1066131968, write_bytes=21131203072, read_time=76752, write_time=3755372, read_merged_count=0, write_merged_count=1054002, busy_time=422076))
('01:21:35', 100.0, 11.94, snetio(bytes_sent=10284233300, bytes_recv=2434887720, packets_sent=17075084, packets_recv=18946980, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058302976, free=27960557568, percent=9.9), sdiskio(read_count=69333, write_count=1021039, read_bytes=1066131968, write_bytes=21133083136, read_time=76752, write_time=3755484, read_merged_count=0, write_merged_count=1054368, busy_time=422076))
