03:43:04;0;13,65; snetio(bytes_sent=11073156861; bytes_recv=2505858122; packets_sent=18679683; packets_recv=19755598; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809688064; free=28209172480; percent=9,1); sdiskio(read_count=97721; write_count=1088591; read_bytes=1365299200; write_bytes=22604296704; read_time=102548; write_time=3911224; read_merged_count=3; write_merged_count=1228651; busy_time=437492))
03:43:07;0;13,8; snetio(bytes_sent=11073820157; bytes_recv=2505916290; packets_sent=18682735; packets_recv=19756298; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809696256; free=28209164288; percent=9,1); sdiskio(read_count=97721; write_count=1088657; read_bytes=1365299200; write_bytes=22605648384; read_time=102548; write_time=3911296; read_merged_count=3; write_merged_count=1228915; busy_time=437492))
03:43:10;100;13,95; snetio(bytes_sent=11074412766; bytes_recv=2505971183; packets_sent=18685520; packets_recv=19756961; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809700352; free=28209160192; percent=9,1); sdiskio(read_count=97721; write_count=1088723; read_bytes=1365299200; write_bytes=22606995968; read_time=102548; write_time=3911372; read_merged_count=3; write_merged_count=1229178; busy_time=437492))
03:43:13;100;14,1; snetio(bytes_sent=11074981978; bytes_recv=2506024958; packets_sent=18688244; packets_recv=19757629; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809708544; free=28209152000; percent=9,1); sdiskio(read_count=97721; write_count=1088789; read_bytes=1365299200; write_bytes=22608351744; read_time=102548; write_time=3911456; read_merged_count=3; write_merged_count=1229443; busy_time=437492))
03:43:16;100;14,15; snetio(bytes_sent=11075541908; bytes_recv=2506077997; packets_sent=18690826; packets_recv=19758283; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809712640; free=28209147904; percent=9,1); sdiskio(read_count=97721; write_count=1088849; read_bytes=1365299200; write_bytes=22609576448; read_time=102548; write_time=3911532; read_merged_count=3; write_merged_count=1229682; busy_time=437492))
03:43:19;100;14,95; snetio(bytes_sent=11076141193; bytes_recv=2506130458; packets_sent=18693548; packets_recv=19758933; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809720832; free=28209139712; percent=9,1); sdiskio(read_count=97721; write_count=1088906; read_bytes=1365299200; write_bytes=22610752000; read_time=102548; write_time=3911600; read_merged_count=3; write_merged_count=1229912; busy_time=437492))
03:43:22;0;15,1; snetio(bytes_sent=11076738962; bytes_recv=2506188532; packets_sent=18696238; packets_recv=19759631; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809724928; free=28209135616; percent=9,1); sdiskio(read_count=97721; write_count=1088988; read_bytes=1365299200; write_bytes=22612238848; read_time=102548; write_time=3911732; read_merged_count=3; write_merged_count=1230185; busy_time=437500))
03:43:25;100;15,15; snetio(bytes_sent=11077288985; bytes_recv=2506240767; packets_sent=18698806; packets_recv=19760291; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809733120; free=28209127424; percent=9,1); sdiskio(read_count=97721; write_count=1089051; read_bytes=1365299200; write_bytes=22613533184; read_time=102548; write_time=3911800; read_merged_count=3; write_merged_count=1230430; busy_time=437500))
03:43:28;0;15,25; snetio(bytes_sent=11077819812; bytes_recv=2506292040; packets_sent=18701221; packets_recv=19760932; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809741312; free=28209119232; percent=9,1); sdiskio(read_count=97721; write_count=1089111; read_bytes=1365299200; write_bytes=22614761984; read_time=102548; write_time=3911868; read_merged_count=3; write_merged_count=1230670; busy_time=437500))
03:43:31;100;15,35; snetio(bytes_sent=11078436259; bytes_recv=2506350138; packets_sent=18703963; packets_recv=19761636; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809749504; free=28209111040; percent=9,1); sdiskio(read_count=97721; write_count=1089180; read_bytes=1365299200; write_bytes=22616175104; read_time=102548; write_time=3911960; read_merged_count=3; write_merged_count=1230946; busy_time=437500))
03:43:34;0;15,45; snetio(bytes_sent=11078975457; bytes_recv=2506400716; packets_sent=18706422; packets_recv=19762245; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809757696; free=28209102848; percent=9,1); sdiskio(read_count=97721; write_count=1089237; read_bytes=1365299200; write_bytes=22617346560; read_time=102548; write_time=3912020; read_merged_count=3; write_merged_count=1231175; busy_time=437500))
03:43:37;100;15,55; snetio(bytes_sent=11079497966; bytes_recv=2506451339; packets_sent=18708790; packets_recv=19762880; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809765888; free=28209094656; percent=9,1); sdiskio(read_count=97721; write_count=1089299; read_bytes=1365299200; write_bytes=22618636800; read_time=102548; write_time=3912092; read_merged_count=3; write_merged_count=1231428; busy_time=437500))
03:43:40;100;15,6; snetio(bytes_sent=11080061751; bytes_recv=2506502500; packets_sent=18711270; packets_recv=19763507; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809765888; free=28209094656; percent=9,1); sdiskio(read_count=97721; write_count=1089354; read_bytes=1365299200; write_bytes=22619746816; read_time=102548; write_time=3912168; read_merged_count=3; write_merged_count=1231644; busy_time=437500))
03:43:43;100;15,7; snetio(bytes_sent=11080702562; bytes_recv=2506561094; packets_sent=18714144; packets_recv=19764216; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809774080; free=28209086464; percent=9,1); sdiskio(read_count=97721; write_count=1089420; read_bytes=1365299200; write_bytes=22621098496; read_time=102548; write_time=3912236; read_merged_count=3; write_merged_count=1231908; busy_time=437500))
03:43:46;0;15,81; snetio(bytes_sent=11081287940; bytes_recv=2506616817; packets_sent=18716696; packets_recv=19764895; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809778176; free=28209082368; percent=9,1); sdiskio(read_count=97721; write_count=1089487; read_bytes=1365299200; write_bytes=22622437888; read_time=102548; write_time=3912308; read_merged_count=3; write_merged_count=1232169; busy_time=437500))
